Event_Date,Event_Type,Impact_Level,Event_Description,City
2022-01-01,Festival,Medium,Festival celebrated in Ho,Ho
2022-01-08,Major Sports Event,High,Major Sports Event celebrated in Kumasi,Kumasi
2022-01-15,Major Sports Event,High,Major Sports Event celebrated in Ho,Ho
2022-01-22,Holiday,Medium,Holiday celebrated in Takoradi,Takoradi
2022-01-29,Holiday,High,Holiday celebrated in Accra,Accra
2022-02-05,Festival,High,Festival celebrated in Kumasi,Kumasi
2022-02-12,Major Sports Event,High,Major Sports Event celebrated in Takoradi,Takoradi
2022-02-19,Market Day,Low,Market Day celebrated in Kumasi,Kumasi
2022-02-26,Market Day,Low,Market Day celebrated in Kumasi,Kumasi
2022-03-05,Major Sports Event,High,Major Sports Event celebrated in Tamale,Tamale
2022-03-12,Festival,Low,Festival celebrated in Takoradi,Takoradi
2022-03-19,Festival,Low,Festival celebrated in Kumasi,Kumasi
2022-03-26,Major Sports Event,Low,Major Sports Event celebrated in Accra,Accra
2022-04-02,Festival,Low,Festival celebrated in Takoradi,Takoradi
2022-04-09,Festival,High,Festival celebrated in Takoradi,Takoradi
2022-04-16,Major Sports Event,Medium,Major Sports Event celebrated in Tamale,Tamale
2022-04-23,Festival,High,Festival celebrated in Takoradi,Takoradi
2022-04-30,Market Day,Low,Market Day celebrated in Accra,Accra
2022-05-07,Major Sports Event,Low,Major Sports Event celebrated in Accra,Accra
2022-05-14,Market Day,High,Market Day celebrated in Accra,Accra
2022-05-21,Festival,Medium,Festival celebrated in Takoradi,Takoradi
2022-05-28,Holiday,Low,Holiday celebrated in Kumasi,Kumasi
2022-06-04,Market Day,High,Market Day celebrated in Takoradi,Takoradi
2022-06-11,Major Sports Event,Medium,Major Sports Event celebrated in Tamale,Tamale
2022-06-18,Major Sports Event,High,Major Sports Event celebrated in Accra,Accra
2022-06-25,Holiday,Medium,Holiday celebrated in Accra,Accra
2022-07-02,Market Day,Low,Market Day celebrated in Accra,Accra
2022-07-09,Market Day,Low,Market Day celebrated in Takoradi,Takoradi
2022-07-16,Market Day,Low,Market Day celebrated in Accra,Accra
2022-07-23,Holiday,High,Holiday celebrated in Takoradi,Takoradi
2022-07-30,Market Day,High,Market Day celebrated in Ho,Ho
2022-08-06,Market Day,Medium,Market Day celebrated in Accra,Accra
2022-08-13,Holiday,High,Holiday celebrated in Accra,Accra
2022-08-20,Holiday,Low,Holiday celebrated in Accra,Accra
