Date,Store_ID,Staff_ID,Shift_Type,Hours_Worked,Staff_Role,Daily_Sales_Target,Staff_Attendance
2022-01-01,S001,E0167,Morning,8,Customer Service,1757.33,Present
2022-01-01,S001,E0110,Night,7,Manager,964.85,Present
2022-01-01,S001,E0107,Morning,8,Customer Service,2758.39,Present
2022-01-01,S001,E0132,Afternoon,6,Stock Clerk,4455.25,Present
2022-01-01,S001,E0092,Afternoon,4,Manager,848.0,Present
2022-01-01,S005,E0148,Afternoon,8,Manager,1849.18,Present
2022-01-01,S005,E0024,Afternoon,5,Customer Service,786.89,Present
2022-01-01,S005,E0151,Night,5,Manager,4260.11,Present
2022-01-01,S005,E0187,Night,4,Manager,2282.54,Present
2022-01-01,S005,E0163,Night,4,Manager,3541.66,Present
2022-01-01,S010,E0125,Afternoon,8,Customer Service,2700.36,Present
2022-01-01,S010,E0286,Night,9,Manager,4617.68,Present
2022-01-01,S010,E0253,Night,7,Stock Clerk,4386.02,Present
2022-01-01,S010,E0054,Afternoon,8,Manager,719.28,Present
2022-01-01,S010,E0247,Night,9,Stock Clerk,4636.53,Present
2022-01-01,S004,E0129,Morning,4,Customer Service,3384.55,Present
2022-01-01,S004,E0282,Night,7,Cashier,1963.53,Absent
2022-01-01,S004,E0165,Morning,7,Customer Service,3754.19,Present
2022-01-01,S004,E0117,Night,7,Stock Clerk,3531.46,Present
2022-01-01,S004,E0048,Afternoon,9,Stock Clerk,3356.25,Present
2022-01-01,S008,E0254,Night,4,Manager,4688.4,Present
2022-01-01,S008,E0013,Afternoon,6,Customer Service,4235.7,Present
2022-01-01,S008,E0267,Night,8,Customer Service,2171.41,Present
2022-01-01,S008,E0033,Morning,7,Customer Service,3282.29,Present
2022-01-01,S008,E0153,Night,4,Manager,2481.66,Present
2022-01-02,S004,E0127,Morning,7,Stock Clerk,2268.79,Present
2022-01-02,S004,E0060,Morning,7,Manager,2153.43,Present
2022-01-02,S004,E0174,Afternoon,9,Customer Service,808.4,Present
2022-01-02,S004,E0206,Night,4,Manager,4987.39,Present
2022-01-02,S004,E0020,Night,5,Cashier,1221.07,Sick leave
2022-01-02,S008,E0261,Night,4,Stock Clerk,1232.13,Present
2022-01-02,S008,E0076,Afternoon,5,Stock Clerk,3827.85,Present
2022-01-02,S008,E0252,Afternoon,9,Stock Clerk,3280.46,Sick leave
2022-01-02,S008,E0214,Night,6,Stock Clerk,2619.76,Present
2022-01-02,S008,E0060,Morning,5,Cashier,3808.71,Present
2022-01-02,S002,E0130,Afternoon,8,Stock Clerk,1089.86,Present
2022-01-02,S002,E0099,Morning,6,Manager,4990.19,Present
2022-01-02,S002,E0158,Afternoon,7,Manager,882.57,Present
2022-01-02,S002,E0245,Morning,7,Stock Clerk,1364.57,Sick leave
2022-01-02,S002,E0257,Night,9,Stock Clerk,960.25,Present
2022-01-02,S010,E0036,Afternoon,4,Customer Service,4707.24,Present
2022-01-02,S010,E0181,Afternoon,8,Manager,3505.29,Sick leave
2022-01-02,S010,E0015,Afternoon,4,Cashier,1747.67,Present
2022-01-02,S010,E0137,Morning,6,Stock Clerk,942.31,Present
2022-01-02,S010,E0157,Morning,4,Cashier,3765.47,Present
2022-01-02,S001,E0132,Morning,4,Stock Clerk,2304.18,Absent
2022-01-02,S001,E0166,Night,5,Stock Clerk,1589.49,Present
2022-01-02,S001,E0128,Morning,6,Cashier,4511.65,Present
2022-01-02,S001,E0033,Morning,9,Manager,3586.8,Present
2022-01-02,S001,E0248,Night,6,Customer Service,1550.02,Present
2022-01-03,S004,E0091,Night,9,Customer Service,1551.74,Present
2022-01-03,S004,E0027,Night,8,Manager,870.91,Present
2022-01-03,S004,E0294,Morning,8,Manager,4644.34,Absent
2022-01-03,S004,E0001,Morning,7,Cashier,1607.73,Present
2022-01-03,S004,E0072,Night,8,Cashier,1162.15,Present
2022-01-03,S008,E0130,Afternoon,5,Customer Service,4317.37,Present
2022-01-03,S008,E0037,Morning,6,Cashier,1888.6,Present
2022-01-03,S008,E0018,Night,4,Customer Service,1759.06,Sick leave
2022-01-03,S008,E0272,Morning,6,Stock Clerk,2738.82,Present
2022-01-03,S008,E0236,Morning,8,Cashier,2777.02,Present
